SIDM,cell_line_name,tissue
SIDM00403,RPMI-8402,Lymphoid
SIDM00482,RPMI-8866,Lymphoid
SIDM01086,RS4-11,Lymphoid
SIDM00402,RT-112,Bladder
SIDM01085,RT4,Bladder
SIDM01084,Saos-2,Bone
SIDM00351,SAS,Head
SIDM00350,SAT,Head
SIDM00367,SBC-3,Lung
SIDM00368,SBC-5,Lung
SIDM01083,SCC-15,Head
SIDM00384,SCC-3,Lymphoid
SIDM01081,SCC-4,Head
SIDM01080,SCC-9,Head
SIDM00085,SF268,CNS
SIDM00083,SF539,CNS
SIDM01079,SH-4,Skin
SIDM01078,SHP-77,Lung
SIDM01093,SiHa,Cervix
SIDM00395,SIMA,PNS
SIDM00394,SISO,Cervix
SIDM01095,SJRH30,Soft_tissue
SIDM01112,SJSA-1,Bone
SIDM01096,SK-CO-1,Colon
SIDM01111,SK-ES-1,Bone
SIDM00381,SKG-IIIa,Cervix
SIDM00393,SK-GT-2,Stomach
SIDM00483,SK-GT-4,Esophagus
SIDM01110,SK-HEP-1,Liver
SIDM01109,SK-LMS-1,Soft_tissue
SIDM01108,SK-LU-1,Lung
SIDM01107,SK-MEL-1,Skin
SIDM00082,SK-MEL-2,Skin
SIDM01106,SK-MEL-24,Skin
SIDM01103,SK-MES-1,Lung
SIDM00379,SK-MG-1,CNS
SIDM00391,SK-MM-2,Lymphoid
SIDM00377,SKN,Uterus
SIDM00375,SKN-3,Head
SIDM01101,SK-N-AS,PNS
SIDM01100,SK-N-DZ,PNS
SIDM01099,SK-N-FI,PNS
SIDM01098,SK-N-SH,PNS
SIDM00079,SK-OV-3,Ovary
SIDM01097,SK-PN-DW,CNS
SIDM01113,SK-UT-1,Uterus
SIDM00374,SLVL,Lymphoid
SIDM00094,SN12C,Kidney
SIDM00373,SNG-M,Endometrium
SIDM01146,SNU-1,Stomach
SIDM01145,SNU-16,Stomach
SIDM00216,SNU-175,Colon
SIDM01151,SNU-182,Liver
SIDM01180,SNU-387,Liver
SIDM01181,SNU-398,Liver
SIDM00214,SNU-407,Colon
SIDM01199,SNU-423,Liver
SIDM01194,SNU-449,Liver
SIDM01144,SNU-5,Stomach
SIDM00194,SNU-61,Colon
SIDM01197,SNU-C1,Colon
SIDM00781,SNU-C2B,Colon
SIDM00498,SNU-C5,Colon
SIDM00096,SR,Lymphoid
SIDM01198,ST486,Lymphoid
SIDM01188,SU8686,Pancreas
SIDM00389,SU-DHL-10,Lymphoid
SIDM00406,SU-DHL-5,Lymphoid
SIDM00407,SU-DHL-6,Lymphoid
SIDM00423,SU-DHL-8,Lymphoid
SIDM00371,SUIT-2,Pancreas
SIDM01176,SUP-B15,Lymphoid
SIDM00422,SUP-HD1,Lymphoid
SIDM00421,SUP-M2,Lymphoid
SIDM01154,SUP-T1,Lymphoid
SIDM01155,SW1088,CNS
SIDM00835,SW1116,Colon
SIDM01156,SW1271,Lung
SIDM00814,SW13,Adrenal
SIDM00812,SW1417,Colon
SIDM00834,SW1463,Colon
SIDM01163,SW1573,Lung
SIDM00420,SW1710,Bladder
